type,name,res_id,src,value
field,"report.label,width_incr",0,Width Increment,Incremento horizontal
help,"report.label,width_incr",0,Width between start positions of 2 labels. Numeric value ended with the unit (cm or in). For example 29.7cm or 11in,Anchura entre el inicio de 2 etiquetas. Valor numérico terminado con la unidad (cm o in). Por ejemplo 29.7cm o 11in
field,"report.label,margin_top",0,Top Margin,Margen superior
help,"report.label,margin_top",0,Numeric value ended with the unit (cm or in). For example 29.7cm or 11in,Valor numérico terminado con la unidad (cm o in). Por ejemplo 29.7cm o 11in
field,"report.label,margin_left",0,Left Margin,Margen izquierdo
help,"report.label,margin_left",0,Numeric value ended with the unit (cm or in). For example 29.7cm or 11in,Valor numérico terminado con la unidad (cm o in). Por ejemplo 29.7cm o 11in
field,"report.label,height_incr",0,Height Increment,Incremento vertical
help,"report.label,height_incr",0,Height between start positions of 2 labels. Numeric value ended with the unit (cm or in). For example 29.7cm or 11in,Altura entre el inicio de 2 etiquetas. Valor numérico terminado con la unidad (cm o in). Por ejemplo 29.7cm o 11in
field,"report.label,manufacturer_id",0,Manufacturer,Fabricante
field,"report.label,landscape",0,Landscape,Horizontal
help,"report.label,landscape",0,No check -> Portrait. Check -> Landscape,No seleccionado -> Vertical. Seleccionado -> Horizontal
field,"report.label,description",0,Description,Descripción
field,"report.label.manufacturer,name",0,Name,Nombre
field,"report.pagesize,width",0,Width,Anchura
help,"report.pagesize,width",0,"Numeric width of the page ended with the unit (cm or in). For example, A4 is 21cm and letter is 8.5in","Valor numérico de la anchura de la página terminado con la unidad (cm o in). Por ejemplo, A4 es 21cm y letter es 8.5in"
field,"report.pagesize,name",0,Name,Nombre
field,"report.pagesize,height",0,Height,Altura
help,"report.pagesize,height",0,"Numeric height of the page ended with the unit (cm or in). For example, A4 is 29.7cm and letter is 11in","Valor numérico de la altura de la página terminado con la unidad (cm o in). Por ejemplo, A4 es 29.7cm y letter es 11in"
view,report.pagesize,0,Page Sizes,Formatos de página
view,report.pagesize,0,Page Sizes,Formatos de página
view,report.label,0,Label Formats,Formatos de etiqueta
view,report.label,0,Label Formats,Formatos de etiqueta

wizard_view,"res.partner.address.label,notify_bottom",0,Notification,Aviso
wizard_view,"res.partner.address.label,notify_bottom",0,Printer bottom margin bigger than (bottom label margin + label height). Try again.,Margen inferior de la impresora mayor que (margen inferior de la etiqueta + altura etiqueta). Pruebe de nuevo.
wizard_button,"res.partner.address.label,notify_bottom,end",0,Ok,Ok
wizard_view,"res.partner.address.label,notify_right",0,Notification,Aviso
wizard_view,"res.partner.address.label,notify_right",0,Printer right margin bigger than (right label margin + label width). Try again.,Margen derecho de la impresora mayor que (margen derecho de la etiqueta + anchura etiqueta). Pruebe de nuevo.
wizard_button,"res.partner.address.label,notify_right,end",0,Ok,Ok
wizard_view,"res.partner.address.label,notify_top",0,Notification,Aviso
wizard_view,"res.partner.address.label,notify_top",0,Printer top margin bigger than (top label margin + label height). Try again.,Margen superior de la impresora mayor que (margen superior de la etiqueta + altura etiqueta). Pruebe de nuevo.
wizard_button,"res.partner.address.label,notify_top,end",0,Ok,Ok
wizard_view,"res.partner.address.label,notify_left",0,Notification,Aviso
wizard_view,"res.partner.address.label,notify_left",0,Printer left margin bigger than (left label margin + label width). Try again.,Margen izquierdo de la impresora mayor que (margen izquierdo de la etiqueta + anchura etiqueta). Pruebe de nuevo.
wizard_button,"res.partner.address.label,notify_left,end",0,Ok,Ok
wizard_field,"res.partner.address.label,init,printer_left",0,Left,Izquierda
wizard_field,"res.partner.address.label,init,printer_top",0,Top,Superior
wizard_field,"res.partner.address.label,init,font_size",0,Font Size,Tamaño letra
wizard_field,"res.partner.address.label,init,printer_right",0,Right,Derecha
wizard_field,"res.partner.address.label,init,label_format",0,Label Format,Formato etiqueta
wizard_field,"res.partner.address.label,init,first_col",0,First Column,Primera columna
wizard_field,"res.partner.address.label,init,first_row",0,First Row,Primera fila
wizard_field,"res.partner.address.label,init,font_type",0,Font Type,Tipo letra
wizard_field,"res.partner.address.label,init,printer_bottom",0,Bottom,Inferior
wizard_view,"res.partner.address.label,init",0,Label Report Options,Opciones impresión de etiquetas
wizard_view,"res.partner.address.label,init",0,Printer Margins,Márgenes impresora
wizard_view,"res.partner.address.label,init",0,Label Char Font,Letra de las etiquetas
wizard_view,"res.partner.address.label,init",0,First Label,Primera etiqueta
wizard_button,"res.partner.address.label,init,end",0,Cancel,Cancelar
wizard_button,"res.partner.address.label,init,check",0,Print,Imprimir
