"ASECTION,A,10","AID,A,10","AISTITLE,L,1","HEADING1,A,35","HEADING2,A,35","AISREADONL,L,1","AISSECRET,L,1","CREATEDATE,@,8","MODIFYDATE,@,8","AUTHOR,A,10","AMATCHNO,I,4","AMEMO,M,11","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","TRFTSTATUS,A,3","COSLEEPING,L,1","COEF,N,8","CELL,A,10","ISCOEFFQTY,L,1","ISUPDAUTO,L,1","VATRATE,N,8","GRP,A,10","PRCLOSS,N,8","PRCPERSO,N,8"
PROJ,GOLF1,0,GOLF MS,,1,,,,,,,SCHILS,2007-04-26 16:13:35,SCHILS,2008-06-19 16:27:54,A,,,,0,,,,,
PROJ,GRAPPES,0,GRAPPES EAU,,1,,,,,,,SCHILS,2005-03-22 14:28:14,BOB,2006-10-24 09:12:36,A,0,,,0,0,,,,
PROJ,IREG,0,INTERREG,,,,2004-02-11 15:27:02,2004-02-11 15:27:09,SCHILS,,,,,BOB,2006-10-24 09:12:36,M,0,,,0,0,,,,
PROJ,JPTAUTO,0,RENAULT JPT,,,,,,,,,SCHILS,2008-06-05 14:07:46,SCHILS,2008-06-05 14:07:46,A,,,,0,,,,,
PROJ,MOTO,0,MOTO CM,,,,,,,,,SCHILS,2007-04-26 16:14:25,SCHILS,2007-04-26 16:14:25,A,,,,0,,,,,
PROJ,NFIN,0,NON AFFECTE,,,,2004-02-11 15:46:57,2004-03-12 14:20:26,SCHILS,,,,,BOB,2006-10-24 09:12:36,M,0,,,0,0,,,,
PROJ,PEUGEOT,0,PEUGEOT JPT,,,,,,,,,SCHILS,2007-04-26 16:13:52,SCHILS,2007-04-26 16:13:52,A,,,,0,,,,,
PROJ,PLATO,0,DC Plato,,1,,,,,,,NEURAY,2005-08-30 14:23:53,SCHILS,2008-02-20 14:46:39,A,0,,,0,0,,,,
PROJ,POLO,0,POLO EF,,,,,,,,,SCHILS,2007-04-26 16:13:17,SCHILS,2007-04-26 16:13:17,A,,,,0,,,,,
PROJ,PROVPLAT,0,PROV PLATO,,1,,,,,,,SCHILS,2006-05-12 12:47:44,SCHILS,2008-02-20 14:46:34,A,,,,0,0,,,,
PROJ,RENAULT,0,RENAULT PN,,,,,,,,,SCHILS,2007-04-26 16:12:51,SCHILS,2007-04-26 16:12:51,A,,,,0,,,,,
PROJ,RENAULT1,0,RENAULT PO,,,,,,,,,SCHILS,2007-04-26 16:13:02,SCHILS,2007-04-26 16:13:02,A,,,,0,,,,,
PROJ,RENXYX28,0,RENAULT XYX286 XM,,,,,,,,,SCHILS,2008-01-07 10:11:09,SCHILS,2008-01-07 10:11:09,A,,,,0,,,,,
PROJ,SCENIC,0,RENAULT SCENIC PVDM,,,,,,,,,SCHILS,2007-11-21 14:07:26,SCHILS,2007-11-21 14:07:26,A,,,,0,,,,,
PROJ,SIE,0,SIE (secrétariat intendance export),,,,2004-02-11 15:38:14,2004-02-11 15:38:37,SCHILS,,,,,BOB,2006-10-24 09:12:36,M,0,,,0,0,,,,
