"HID,A,10","HDBK,A,4","HFYEAR,A,5","HMONTH,I,4","HDOCNO,I,4","HORDERNO,I,4","HDBTYPE,A,3","HYEAR,I,4","HCUSSUP,A,10","HDOCDATE,D,4","HDUEDATE,D,4","HREM,A,40","HAMOUNT,$,8","HCURRENCY,A,3","HCURAMN,$,8","HBASE,$,8","HVATCODE,A,10","HTAX,$,8","HTAXND,$,8","HSTATUS,A,1","HMATCHNO,I,4","HCLASS,A,1","HTEMP,L,1","HISCOST,L,1","HORIGIN,A,1","COST_DEP,A,8","COST_PROD,A,10","COST_PROJ,A,8","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","CNTRPRTACC,A,10","HTYPE,A,3","HDISCADV,L,1","HMFYEAR,A,5","HMYEAR,I,4","HMMONTH,I,4","HMDATE,D,4","CHKDIGIT,A,10"
451000,VEN,2005,1,501049,14,SAL,2005,SOUTHWES,2005-01-31,2005-03-04,AMB_CBA  14/01/2005 Dossier CBA 20 : Emi,-44.310000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,1,501051,3,SAL,2005,SPI,2005-01-31,2005-03-04,BICENT   31/01/2005 Livre Bicentenaire i,-131.250000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,1,501052,3,SAL,2005,STASELEC,2005-01-31,2005-03-04,RH       28/01/2005 Formation Ressources,-44.100000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,1,501054,13,SAL,2005,STEELCRE,2005-01-31,2005-03-04,AMB_CBA  07/01/2005 Dossier CBA 13 : Ara,-33.180000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,1,501055,3,SAL,2005,STEMTEX,2005-01-31,2005-03-04,COTISAT  31/01/2005 Cotisation 2005 Nvx,-63.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,1,501056,3,SAL,2005,STSIMEON,2005-01-31,2005-03-04,COTISAT  31/01/2005 Cotisation 2005 Nvx,-52.500000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,1,501057,4,SAL,2005,TDS,2005-01-31,2005-03-04,TRADUCT  31/01/2005 TRADUCTION30.11.2005,-238.560000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,1,501058,4,SAL,2005,TECHNIC,2005-01-31,2005-03-04,TRADUCT  31/01/2005 TRADUCTION 15.01.05,-65.520000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,1,501059,4,SAL,2005,TECHNIFU,2005-01-31,2005-03-04,GR0501 L 25/01/2005 Publicité Gagnez & R,-157.740000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,1,501060,3,SAL,2005,TECHSPAC,2005-01-31,2005-03-04,GR0501 L 25/01/2005 Publicité Gagnez & R,-281.400000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,1,501064,4,SAL,2005,TMI,2005-01-31,2005-03-04,LD159    28/01/2005 2 AD* 159 Algérie AT,-21.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,1,501066,3,SAL,2005,TNT,2005-01-31,2005-03-04,MAILIN   31/01/2005 Part. mailing mensue,-99.750000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,1,501067,3,SAL,2005,TONER,2005-01-31,2005-03-04,GR0501 L 24/01/2005 Publicité Gagnez & R,-281.400000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,1,501068,7,SAL,2005,TOUSSNYS,2005-01-31,2005-03-04,AMB_CBA  27/12/2004 Dossier CBA 605 : Ar,-19.490000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,1,501069,4,SAL,2005,TRACPIEC,2005-01-31,2005-03-04,LD76     14/01/2005 1 AD* 76 TunisiefATT,-14.700000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,1,501071,7,SAL,2005,TRUCK,2005-01-31,2005-03-04,AMB_ADM  11/01/2005 Frais administratifs,-13.020000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,1,501073,3,SAL,2005,VENTURIS,2005-01-31,2005-03-04,COTISAT  31/01/2005 Cotisation 2005 Nvx,-52.500000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,1,501076,4,SAL,2005,WALTHERY,2005-01-31,2005-03-04,BCEHON   13/01/2005 Honoraires BCE,-8.680000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,1,501078,4,SAL,2005,WARNY,2005-01-31,2005-03-04,BCEHON   14/01/2005 Honoraires BCE,-8.680000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501082,7,SAL,2005,FEDERBXL,2005-02-03,2005-03-05,COPIES   03/02/2005 photocopies 4ème tri,-0.550000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501082,8,SAL,2005,FEDERBXL,2005-02-03,2005-03-05,CATERING 03/02/2005 Soirée info 09.12.22,-94.500000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501082,9,SAL,2005,FEDERBXL,2005-02-03,2005-03-05,TELEPHON 03/02/2005 Frais de fax - 4ème,-8.030000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501083,3,SAL,2005,ACTIEF,2005-02-18,2005-03-20,COTISAT  15/02/2005 Cotisation 2005 Agen,-21.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501084,6,SAL,2005,ARMA,2005-02-24,2005-03-26,AMB_CBA  10/02/2005 Dossier CBA 61 :,-65.100000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501085,4,SAL,2005,FORTISHE,2005-02-28,2005-03-31,EUREGIO  28/02/2005 Participation au CEB,-86.940000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501086,7,SAL,2005,ETILUX,2005-02-28,2005-03-31,EUREGIO  28/02/2005 Participation au CEB,-136.290000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501086,8,SAL,2005,ETILUX,2005-02-28,2005-03-31,INSCRIPT 22/02/2005 CARROUSEL 2/05 Mr ES,-21.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501087,3,SAL,2005,ABC,2005-02-28,2005-04-02,INSCRIPT 14/02/2005 CARROUSEL 2/05 Mr OL,-10.500000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501088,3,SAL,2005,ACCOUNTE,2005-02-28,2005-04-02,INSCRIPT 14/02/2005 CARROUSEL 2/05 Mle G,-10.500000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501089,3,SAL,2005,ACTIEF,2005-02-28,2005-04-02,INSCRIPT 14/02/2005 CARROUSEL 2/05 Mme T,-10.500000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501091,3,SAL,2005,ADECCOVE,2005-02-28,2005-04-02,INSCRIPT 25/02/2005 CARROUSEL 2/05 Mme G,-10.500000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501092,4,SAL,2005,ADS,2005-02-28,2005-04-02,GR0502 L 28/02/2005 Publicité Gagnez & R,-50.780000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501093,4,SAL,2005,ADVANCED,2005-02-28,2005-04-02,INSCRIPT 14/02/2005 CARROUSEL 2/05 Mr JA,-21.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501094,4,SAL,2005,AEGIS,2005-02-28,2005-04-02,GR0502 L 21/02/2005 Publicité Gagnez & R,-239.190000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501095,3,SAL,2005,AGORA,2005-02-28,2005-04-02,INSCRIPT 14/02/2005 CARROUSEL 2/05 Mr DE,-10.500000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501096,3,SAL,2005,AJILON,2005-02-28,2005-04-02,INSCRIPT 22/02/2005 CARROUSEL 2/05 Mle G,-10.500000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501097,5,SAL,2005,AKERS,2005-02-28,2005-04-02,LD197    03/02/2005 1 AD* 197 Iran CERTI,-7.350000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501099,6,SAL,2005,ALCOVER,2005-02-28,2005-04-02,STAMOD   17/02/2005 Frais dépôt statuts,-61.260000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501100,3,SAL,2005,ALIAS,2005-02-28,2005-04-02,INSCRIPT 17/02/2005 PETIT DEJ FEV 2005 V,-2.600000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501102,4,SAL,2005,ALPHALIB,2005-02-28,2005-04-02,PUBLICA  11/02/2005 Abonnement 2005 - P0,-17.850000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501102,5,SAL,2005,ALPHALIB,2005-02-28,2005-04-02,PUBLICA  11/02/2005 Abonnement 2005 - P0,-17.850000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501103,4,SAL,2005,ALTERYS,2005-02-28,2005-04-02,COTISAT  15/02/2005 Cotisation 2005 NVX,-52.500000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501103,5,SAL,2005,ALTERYS,2005-02-28,2005-04-02,INSCRIPT 15/02/2005 CARROUSEL 2/05 Mr RU,-10.500000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501104,3,SAL,2005,ALVEOLE,2005-02-28,2005-04-02,INSCRIPT 17/02/2005 CARROUSEL 2/05 Mme L,-10.500000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501105,5,SAL,2005,AMINCEM,2005-02-28,2005-04-02,AMB_ADM  27/01/2005 Frais administratifs,-14.030000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501106,3,SAL,2005,AMORY,2005-02-28,2005-04-02,INSCRIPT 18/02/2005 PETIT DEJ 0205 LG Mr,-2.600000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501107,3,SAL,2005,ANIMAL,2005-02-28,2005-04-02,TVA      07/02/2005 Immatriculation TVA,-6.420000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501108,4,SAL,2005,ANTICIP,2005-02-28,2005-04-02,INSCRIPT 23/02/2005 CARROUSEL 2/05 Mr LE,-21.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501109,3,SAL,2005,AON,2005-02-28,2005-04-02,INSCRIPT 14/02/2005 CARROUSEL 2/05 Mr VA,-10.500000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501110,3,SAL,2005,AQUA,2005-02-28,2005-04-02,INSCRIPT 16/02/2005 CARROUSEL 2/05 Mr NO,-10.500000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501111,3,SAL,2005,AREVA,2005-02-28,2005-04-02,LD297    15/02/2005 2 AC* 297,-16.800000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501114,3,SAL,2005,ARTICA,2005-02-28,2005-04-02,INSCRIPT 22/02/2005 CARROUSEL 2/05 Mr HO,-10.500000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501115,5,SAL,2005,ARTWOOD,2005-02-28,2005-04-02,RH       28/02/2005 Formation Ressources,-44.100000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
451000,VEN,2005,2,501115,6,SAL,2005,ARTWOOD,2005-02-28,2005-04-02,INSCRIPT 15/02/2005 Formation : Gérez vo,-98.700000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:06:03,400000,,0,,,,,
