"HID,A,10","HDBK,A,4","HFYEAR,A,5","HMONTH,I,4","HDOCNO,I,4","HORDERNO,I,4","HDBTYPE,A,3","HYEAR,I,4","HCUSSUP,A,10","HDOCDATE,D,4","HDUEDATE,D,4","HREM,A,40","HAMOUNT,$,8","HCURRENCY,A,3","HCURAMN,$,8","HBASE,$,8","HVATCODE,A,10","HTAX,$,8","HTAXND,$,8","HSTATUS,A,1","HMATCHNO,I,4","HCLASS,A,1","HTEMP,L,1","HISCOST,L,1","HORIGIN,A,1","COST_DEP,A,8","COST_PROD,A,10","COST_PROJ,A,8","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","CNTRPRTACC,A,10","HTYPE,A,3","HDISCADV,L,1","HMFYEAR,A,5","HMYEAR,I,4","HMMONTH,I,4","HMDATE,D,4","CHKDIGIT,A,10"
702000,VEN,2006,2,601374,3,SAL,2006,4MEUROPE,2006-02-28,2006-04-30,EP1FEV   09/02/2006 Entre'Preneurs 20/2/,-150.000000,,,150.000000,NSS  21,31.500000,0.000000,,,,,1,,ADM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601377,2,SAL,2006,ADVANCED,2006-02-28,2006-04-30,EP1FEV   16/02/2006 Entre'Preneurs 20/2/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,ADM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601385,2,SAL,2006,ARCELOR,2006-02-28,2006-04-30,EP1FEV   14/02/2006 Entre'Preneurs 20/2/,-150.000000,,,150.000000,NSS  21,31.500000,0.000000,,,,,1,,ADM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601387,2,SAL,2006,AREVA,2006-02-28,2006-04-30,EP4MAI   16/02/2006 Entre'Preneurs 8/5/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601392,2,SAL,2006,ATIINDUS,2006-02-28,2006-04-30,EP1FEV   14/02/2006 Entre'Preneurs 20/2/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,ADM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601396,2,SAL,2006,BATIDAL,2006-02-28,2006-04-30,EP1FEV   21/02/2006 Entre'Preneurs 20/2/,-150.000000,,,150.000000,NSS  21,31.500000,0.000000,,,,,1,,ADM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601398,2,SAL,2006,BCT,2006-02-28,2006-04-30,EP1FEV   14/02/2006 Entre'Preneurs 20/2/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,ADM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601398,3,SAL,2006,BCT,2006-02-28,2006-04-30,EP3AVRIL 27/02/2006 Entre'Preneurs 3/4/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601398,4,SAL,2006,BCT,2006-02-28,2006-04-30,EP4MAI   27/02/2006 Entre'Preneurs 8/5/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601398,5,SAL,2006,BCT,2006-02-28,2006-04-30,EP5JUIN  27/02/2006 Entre'Preneurs 6/6/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601398,6,SAL,2006,BCT,2006-02-28,2006-04-30,EP6JUIL  27/02/2006 Entre'Preneurs 4/7/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601399,3,SAL,2006,BDO,2006-02-28,2006-04-30,EP4MAI   17/02/2006 Entre'Preneurs 8/5/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601399,4,SAL,2006,BDO,2006-02-28,2006-04-30,EP5JUIN  17/02/2006 Entre'Preneurs 6/6/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601399,5,SAL,2006,BDO,2006-02-28,2006-04-30,EP6JUIL  17/02/2006 Entre'Preneurs 4/7/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601399,6,SAL,2006,BDO,2006-02-28,2006-04-30,EP8OCT   17/02/2006 Entre'Preneurs 2/10/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601399,7,SAL,2006,BDO,2006-02-28,2006-04-30,EP10DEC  17/02/2006 Entre'Preneurs 4/12/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,ADM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601404,2,SAL,2006,BEM,2006-02-28,2006-04-30,EP3AVRIL 20/02/2006 Entre'Preneurs 3/4/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601404,3,SAL,2006,BEM,2006-02-28,2006-04-30,EP5JUIN  20/02/2006 Entre'Preneurs 6/6/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601404,4,SAL,2006,BEM,2006-02-28,2006-04-30,EP7SEPT  20/02/2006 Entre'Preneurs 4/9/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601405,2,SAL,2006,BERGER P,2006-02-28,2006-04-30,EP1FEV   17/02/2006 Entre'Preneurs 20/2/,-150.000000,,,150.000000,NSS  21,31.500000,0.000000,,,,,1,,ADM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601405,3,SAL,2006,BERGER P,2006-02-28,2006-04-30,EP2MAR   17/02/2006 Entre'Preneurs 13/3/,-150.000000,,,150.000000,NSS  21,31.500000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601405,4,SAL,2006,BERGER P,2006-02-28,2006-04-30,EP3AVRIL 17/02/2006 Entre'Preneurs 3/4/0,-150.000000,,,150.000000,NSS  21,31.500000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601405,5,SAL,2006,BERGER P,2006-02-28,2006-04-30,EP5JUIN  17/02/2006 Entre'Preneurs 6/6/0,-150.000000,,,150.000000,NSS  21,31.500000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601405,6,SAL,2006,BERGER P,2006-02-28,2006-04-30,EP6JUIL  17/02/2006 Entre'Preneurs 4/7/0,-150.000000,,,150.000000,NSS  21,31.500000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601405,7,SAL,2006,BERGER P,2006-02-28,2006-04-30,EP7SEPT  17/02/2006 Entre'Preneurs 4/9/0,-150.000000,,,150.000000,NSS  21,31.500000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601405,8,SAL,2006,BERGER P,2006-02-28,2006-04-30,EP8OCT   17/02/2006 Entre'Preneurs 2/10/,-150.000000,,,150.000000,NSS  21,31.500000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601407,2,SAL,2006,BIGMATLE,2006-02-28,2006-04-30,EP1FEV   17/02/2006 Entre'Preneurs 20/2/,-150.000000,,,150.000000,NSS  21,31.500000,0.000000,,,,,1,,ADM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601413,2,SAL,2006,CAPTEL,2006-02-28,2006-04-30,EP1FEV   14/02/2006 Entre'Preneurs 20/2/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,ADM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601416,2,SAL,2006,CBCBANQU,2006-02-28,2006-04-30,EP1FEV   15/02/2006 Entre'Preneurs 20/2/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,ADM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601420,2,SAL,2006,CHAUVEHE,2006-02-28,2006-04-30,EP3AVRIL 17/02/2006 Entre'Preneurs 3/4/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601420,3,SAL,2006,CHAUVEHE,2006-02-28,2006-04-30,EP4MAI   17/02/2006 Entre'Preneurs 8/5/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,T,748,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,2006,2006,3,2006-03-13,
702000,VEN,2006,2,601420,4,SAL,2006,CHAUVEHE,2006-02-28,2006-04-30,EP5JUIN  17/02/2006 Entre'Preneurs 6/6/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601420,5,SAL,2006,CHAUVEHE,2006-02-28,2006-04-30,EP6JUIL  17/02/2006 Entre'Preneurs 4/7/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601420,6,SAL,2006,CHAUVEHE,2006-02-28,2006-04-30,EP8OCT   17/02/2006 Entre'Preneurs 2/10/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601420,7,SAL,2006,CHAUVEHE,2006-02-28,2006-04-30,EP9NOV   17/02/2006 Entre'Preneurs 6/11/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601422,2,SAL,2006,CIBLE,2006-02-28,2006-04-30,EP1FEV   15/02/2006 Entre'Preneurs 20/2/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,ADM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601435,2,SAL,2006,DAMBOIS,2006-02-28,2006-04-30,EP3AVRIL 23/02/2006 Entre'Preneurs 3/4/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601435,3,SAL,2006,DAMBOIS,2006-02-28,2006-04-30,EP4MAI   23/02/2006 Entre'Preneurs 8/5/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601435,4,SAL,2006,DAMBOIS,2006-02-28,2006-04-30,EP5JUIN  23/02/2006 Entre'Preneurs 6/6/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601435,5,SAL,2006,DAMBOIS,2006-02-28,2006-04-30,EP7SEPT  23/02/2006 Entre'Preneurs 4/9/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601435,6,SAL,2006,DAMBOIS,2006-02-28,2006-04-30,EP8OCT   23/02/2006 Entre'Preneurs 2/10/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601435,7,SAL,2006,DAMBOIS,2006-02-28,2006-04-30,EP9NOV   23/02/2006 Entre'Preneurs 6/11/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601435,8,SAL,2006,DAMBOIS,2006-02-28,2006-04-30,EP10DEC  23/02/2006 Entre'Preneurs 4/12/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,ADM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601439,2,SAL,2006,DEGEN,2006-02-28,2006-04-30,EP1FEV   17/02/2006 Entre'Preneurs 20/2/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,ADM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601439,3,SAL,2006,DEGEN,2006-02-28,2006-04-30,EP2MAR   22/02/2006 Entre'Preneurs 13/3/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601441,2,SAL,2006,DELCOURJ,2006-02-28,2006-04-30,EP1FEV   09/02/2006 Entre'Preneurs 20/2/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,ADM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601448,2,SAL,2006,DEXIA,2006-02-28,2006-04-30,EP2MAR   16/02/2006 Entre'Preneurs 13/3/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601448,3,SAL,2006,DEXIA,2006-02-28,2006-04-30,EP3AVRIL 16/02/2006 Entre'Preneurs 3/4/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601448,4,SAL,2006,DEXIA,2006-02-28,2006-04-30,EP4MAI   16/02/2006 Entre'Preneurs 8/5/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601448,5,SAL,2006,DEXIA,2006-02-28,2006-04-30,EP5JUIN  16/02/2006 Entre'Preneurs 6/6/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601448,6,SAL,2006,DEXIA,2006-02-28,2006-04-30,EP6JUIL  16/02/2006 Entre'Preneurs 4/7/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601448,7,SAL,2006,DEXIA,2006-02-28,2006-04-30,EP7SEPT  16/02/2006 Entre'Preneurs 4/9/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601448,8,SAL,2006,DEXIA,2006-02-28,2006-04-30,EP8OCT   16/02/2006 Entre'Preneurs 2/10/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601448,9,SAL,2006,DEXIA,2006-02-28,2006-04-30,EP9NOV   16/02/2006 Entre'Preneurs 6/11/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601448,10,SAL,2006,DEXIA,2006-02-28,2006-04-30,EP10DEC  16/02/2006 Entre'Preneurs 4/12/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,ADM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601450,2,SAL,2006,DIDIMOTO,2006-02-28,2006-04-30,EP1FEV   15/02/2006 Entre'Preneurs 20/2/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,ADM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:34,400000,,0,,,,,
702000,VEN,2006,2,601470,2,SAL,2006,EULER,2006-02-28,2006-04-30,EP2MAR   22/02/2006 Entre'Preneurs 13/3/,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:35,400000,,0,,,,,
702000,VEN,2006,2,601470,3,SAL,2006,EULER,2006-02-28,2006-04-30,EP5JUIN  22/02/2006 Entre'Preneurs 6/6/0,-100.000000,,,100.000000,NSS  21,21.000000,0.000000,,,,,1,,EVENEM,ENTREP,NFIN,,,SCHILS,2008-01-07 13:06:35,400000,,0,,,,,
