"AID,A,10","AISTITLE,L,1","HEADING1,A,40","HEADING2,A,40","ASECONDID,A,10","AFREE,A,40","ACAT,A,3","AINTCAT,A,10","ACATCOMM,A,1","ADBCD,A,1","AISCOST,L,1","AVATTYPE,A,1","AVATENAT1,A,3","AVATENAT2,A,3","AVATECMP,N,8","AVATNNAT1,A,3","AVATNNAT2,A,3","AVATNCMP,N,8","AVATINAT1,A,3","AVATINAT2,A,3","AVATICMP,N,8","AISSUMMARY,L,1","AISSTATUS,L,1","AISREADONL,L,1","AISSECRET,L,1","VTRAVFA,L,1","AISMATCH,L,1","DEPACC,A,10","PROVACC,A,10","HISINTRASTAT,L,1","AMATCHNO,I,4","ABALANCE,A,10","AREM,A,35","AVATCAS,L,1","ACCTSECONDID,L,1","AMEMO,M,11","CREATEDATE,@,8","MODIFYDATE,@,8","AUTHOR,A,10","PRCNDCHARGES,N,8","PRCPRIVATE,N,8","COSTRDEP,L,1","COST_DEP,A,8","COSTRPROD,L,1","COST_PROD,A,10","COSTRPROJ,L,1","COST_PROJ,A,8","TYPENDCHARGES,A,3","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","TRFTSTATUS,A,3","STATIONID,A,3","AFIXTYPE,A,10","ASLEEPING,L,1","DISCADVNOT,L,1"
414210,0,REDUC VALEUR INTERREG 98-2002 (v),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,3,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-08-30 12:00:44,SCHILS,2008-06-16 11:57:12,A,000,,0,0
414222,0,INTERREG (L),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,2,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-11-04 16:55:37,SCHILS,2007-03-02 10:25:59,A,000,,0,0
414300,0,PRODUITS A RECEVOIR SWAP,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,234,ASSETS,,0,0,,2004-02-12 10:09:52,2004-02-12 10:10:09,SCHILS,,,0,,0,,0,,,,,SCHILS,2007-10-25 12:00:39,M,,,0,0
414301,0,APPEL (v),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,2,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-08-30 12:12:16,SCHILS,2007-03-02 10:25:59,A,000,,0,0
414310,0,REDUC VALEUR APPEL (v),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,3,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-08-30 12:02:11,SCHILS,2007-03-02 10:25:59,A,000,,0,0
414400,0,PRODUITS A RECEVOIR PLATO,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,234,ASSETS,,0,0,,2004-02-12 10:10:09,2004-02-12 10:15:14,SCHILS,,,0,,0,,0,,,,,NEURAY,2007-05-14 16:52:15,M,,,0,0
414401,0,PLATO  (v),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,2,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-08-30 12:12:52,SCHILS,2008-03-25 14:14:24,A,000,,0,0
414402,0,PLATO MANAGEMENT,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,2,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-11-15 16:38:31,SCHILS,2007-03-02 10:25:59,A,000,,0,0
414403,0,PLATO QUOTE PART PRIVEE ENTREPRISE,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,228,ASSETS,,0,0,,,,,,,0,,0,,0,,,SCHILS,2006-05-05 09:05:49,SCHILS,2007-03-26 09:37:04,A,000,,0,0
414410,0,REDUC VALEUR PLATO  (v),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,2,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-08-30 12:03:00,SCHILS,2008-03-25 14:14:13,A,000,,0,0
414500,0,SIE INTENDANCE LV,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,2,ASSETS,,0,0,,2004-02-12 10:15:14,2004-02-12 10:16:01,SCHILS,,,0,,0,,0,,,,,SCHILS,2008-06-16 11:57:51,M,,,0,0
414501,0,PLATO 200 (v),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,236,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-08-30 12:04:05,SCHILS,2008-06-17 15:23:00,A,000,,0,0
414510,0,REDUC VALEUR PLATO 200 (v),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,3,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-08-30 12:13:32,SCHILS,2008-06-16 11:58:09,A,000,,0,0
414522,0,PLATO RENFORCEMENT (L),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,233,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-11-04 16:40:09,SCHILS,2008-06-17 15:23:07,A,000,,0,0
414550,0,SIE TRADUCTIONS LV,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,,,0,,ASSETS,,0,0,,2004-02-12 10:15:30,2004-02-12 10:15:53,SCHILS,,,0,,0,,0,,,,,SCHILS,2007-03-02 10:25:59,M,,,0,0
414600,0,PLATONET (v),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,3,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-08-30 12:14:01,SCHILS,2008-06-16 11:58:25,A,000,,0,0
414610,0,REDUC VALEUR PLATONET (v),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,3,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-08-30 12:14:24,SCHILS,2008-06-16 11:58:33,A,000,,0,0
414700,0,SIE AWEX (v),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,3,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-08-30 12:14:43,SCHILS,2007-03-02 10:25:59,A,000,,0,0
414702,0,SIE 2002 AWEX (L),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,4,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-11-04 16:30:30,SCHILS,2007-03-02 10:25:59,A,000,,0,0
414800,0,SIE TRADUCTION (v),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,3,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-08-30 12:15:12,SCHILS,2007-03-02 10:25:59,A,000,,0,0
414802,0,TRADUCTION AWEX,,,,,,,,1,,,,,,,,,,,0,0,0,0,0,1,,,0,241,,,0,0,,,,,,,1,RI,1,,1,,,SCHILS,2004-11-15 09:43:03,SCHILS,2008-05-19 16:34:45,A,000,,0,0
414810,0,SIE,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,246,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2005-02-09 14:49:15,NEURAY,2007-10-16 14:32:41,A,000,,0,0
414900,0,SUBVENTION FORET,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,3,,,0,0,,,,,,,0,,0,,0,,,NEURAY,2004-11-26 09:17:50,SCHILS,2007-03-02 10:25:59,A,000,,0,0
414902,0,SUBVENTION FORET (L),,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,3,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2004-11-04 16:36:35,SCHILS,2007-03-02 10:25:59,A,000,,0,0
414910,0,SUBVENTION ENERGY POOLING,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,251,ASSETS,,0,0,,,,,,,0,,0,,0,,,NEURAY,2004-11-26 10:02:15,SCHILS,2008-02-11 10:50:30,A,000,,0,0
414920,0,APE,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,1,,,0,247,,,0,0,,,,,,,0,,0,,0,,,SCHILS,2005-02-08 16:36:20,SCHILS,2008-05-08 12:12:36,A,000,,0,0
