"HID,A,10","HDBK,A,4","HFYEAR,A,5","HMONTH,I,4","HDOCNO,I,4","HORDERNO,I,4","HDBTYPE,A,3","HYEAR,I,4","HCUSSUP,A,10","HDOCDATE,D,4","HDUEDATE,D,4","HREM,A,40","HAMOUNT,$,8","HCURRENCY,A,3","HCURAMN,$,8","HBASE,$,8","HVATCODE,A,10","HTAX,$,8","HTAXND,$,8","HSTATUS,A,1","HMATCHNO,I,4","HCLASS,A,1","HTEMP,L,1","HISCOST,L,1","HORIGIN,A,1","COST_DEP,A,8","COST_PROD,A,10","COST_PROJ,A,8","CREATEDBY,A,10","CREATEDON,@,8","MODIFIEDBY,A,10","MODIFIEDON,@,8","CNTRPRTACC,A,10","HTYPE,A,3","HDISCADV,L,1","HMFYEAR,A,5","HMYEAR,I,4","HMMONTH,I,4","HMDATE,D,4","CHKDIGIT,A,10"
573000,CPS,2005,10,2342,2,CAS,2005,,2005-10-04,2005-10-04,PN+XC réunion,-5.400000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 12:59:07,613350,,0,,,,,
573000,CPS,2005,10,2342,4,CAS,2005,,2005-10-10,2005-10-10,PN+XC réunion,-2.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 12:59:07,613350,,0,,,,,
573000,CPS,2005,10,2342,6,CAS,2005,,2005-10-10,2005-10-10,PN+XC réunion,2.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 12:59:07,613350,,0,,,,,
573000,CPS,2005,10,2343,2,CAS,2005,,2005-10-04,2005-10-04,TRANSFERT CPS,500.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 12:59:07,580000,,0,,,,,
573000,CPS,2005,10,2344,2,CAS,2005,,2005-10-06,2005-10-06,TRANSFERT CPS,1200.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 12:59:07,580000,,0,,,,,
573000,CPS,2005,10,2345,2,CAS,2005,COLRUYT,2005-10-11,2005-10-11,Fournitures,-8.940000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,440000,,0,,,,,
573000,CPS,2005,10,2346,2,CAS,2005,MINFINAN,2005-10-11,2005-10-11,Extrait cadast,-33.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,440000,,0,,,,,
573000,CPS,2005,10,2347,2,CAS,2005,,2005-10-12,2005-10-12,Dépl. FB Train,-6.600000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 12:59:07,615000,,0,,,,,
573000,CPS,2005,10,2348,2,CAS,2005,,2005-10-12,2005-10-12,TRANSFERT CPS,2200.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 12:59:07,580000,,0,,,,,
573000,CPS,2005,10,2349,2,CAS,2005,,2005-10-12,2005-10-12,TFT,-4700.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 12:59:07,580000,,0,,,,,
573000,CPS,2005,10,2350,2,CAS,2005,COLRUYT,2005-10-12,2005-10-12,Fournitures,-80.220000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,440000,,0,,,,,
573000,CPS,2005,10,2351,2,CAS,2005,,2005-10-13,2005-10-13,TRANSFERT CPS,850.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 12:59:07,580000,,0,,,,,
573000,CPS,2005,10,2352,2,CAS,2005,SOUGNED,2005-10-13,2005-10-13,AJOUT OD 15007,25.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
573000,CPS,2005,10,2353,2,CAS,2005,HENRIP,2005-10-13,2005-10-13,AJOUT OD 15008,25.000000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
573000,CPS,2005,10,2354,2,CAS,2005,VIELLEVO,2005-10-13,2005-10-13,AJOUT CO  2845,10.540000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
573000,CPS,2005,10,2354,4,CAS,2005,VIELLEVO,2005-10-13,2005-10-13,AJOUT CO  2844,10.540000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
573000,CPS,2005,10,2355,2,CAS,2005,EXPRO,2005-10-14,2005-10-14,AJOUT CO  2862,10.540000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
573000,CPS,2005,10,2355,4,CAS,2005,EXPRO,2005-10-14,2005-10-14,AJOUT CO  2861,10.540000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
573000,CPS,2005,10,2355,6,CAS,2005,EXPRO,2005-10-14,2005-10-14,AJOUT CO  2860,10.540000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
573000,CPS,2005,10,2356,2,CAS,2005,ACE,2005-10-14,2005-10-14,AJOUT CO  2873,10.540000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
573000,CPS,2005,10,2356,4,CAS,2005,ACE,2005-10-14,2005-10-14,AJOUT CO  2872,10.540000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
573000,CPS,2005,10,2356,6,CAS,2005,ACE,2005-10-14,2005-10-14,AJOUT CO  2871,10.540000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
573000,CPS,2005,10,2356,8,CAS,2005,ACE,2005-10-14,2005-10-14,AJOUT CO  2870,10.540000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
573000,CPS,2005,10,2356,10,CAS,2005,ACE,2005-10-14,2005-10-14,AJOUT CO  2868,10.540000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
573000,CPS,2005,10,2356,12,CAS,2005,ACE,2005-10-14,2005-10-14,AJOUT CO  2867,10.540000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
573000,CPS,2005,10,2356,14,CAS,2005,ACE,2005-10-14,2005-10-14,AJOUT CO  2866,10.540000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
573000,CPS,2005,10,2356,16,CAS,2005,ACE,2005-10-14,2005-10-14,AJOUT CO  2869,10.540000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
573000,CPS,2005,10,2357,2,CAS,2005,SIMONIS,2005-10-17,2005-10-17,AJOUT CO  2886,10.540000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
573000,CPS,2005,10,2357,4,CAS,2005,SIMONIS,2005-10-17,2005-10-17,AJOUT CO  2887,13.700000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
573000,CPS,2005,10,2358,2,CAS,2005,DIVERS2,2005-10-17,2005-10-17,AJOUT CO  2893,10.540000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
573000,CPS,2005,10,2358,4,CAS,2005,MOSACIER,2005-10-17,2005-10-17,AJOUT CO  2892,10.540000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
573000,CPS,2005,10,2359,2,CAS,2005,CCILV,2005-10-18,2005-10-18,AJOUT AM   478,36.300000,,,,,,,,,,,0,,,,,,,SCHILS,2008-01-07 13:04:36,400000,,0,,,,,
