state,period_id:id,ref,id,journal_id:id
draft,period_2001-1,,move_DI2200120010003,journal_DI2
draft,period_2001-1,,move_DI2200120010003,journal_DI2
draft,period_2001-1,,move_DI2200120010003,journal_DI2
draft,period_2001-2,,move_BBL200120010004,journal_BBL
draft,period_2001-2,,move_BBL200120010004,journal_BBL
draft,period_2001-6,,move_BBL200120010005,journal_BBL
draft,period_2001-6,,move_BBL200120010005,journal_BBL
draft,period_2001-7,,move_BBL200120010006,journal_BBL
draft,period_2001-9,,move_BBL200120010007,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010008,journal_BBL
draft,period_2001-12,,move_BBL200120010009,journal_BBL
draft,period_2001-12,,move_BBL200120010009,journal_BBL
draft,period_2001-12,,move_BBL200120010009,journal_BBL
draft,period_2001-12,,move_BBL200120010009,journal_BBL
draft,period_2001-12,,move_BBL200120010009,journal_BBL
draft,period_2001-12,,move_BBL200120010009,journal_BBL
draft,period_2002-1,,move_BBL200220020001,journal_BBL
draft,period_2002-1,,move_BBL200220020001,journal_BBL
draft,period_2002-1,,move_BBL200220020002,journal_BBL
draft,period_2002-1,,move_BBL200220020003,journal_BBL
draft,period_2002-1,,move_BBL200220020003,journal_BBL
draft,period_2002-1,,move_BBL200220020003,journal_BBL
draft,period_2002-1,,move_BBL200220020003,journal_BBL
draft,period_2002-1,,move_BBL200220020003,journal_BBL
draft,period_2002-1,,move_BBL200220020003,journal_BBL
draft,period_2002-1,,move_BBL200220020003,journal_BBL
draft,period_2002-3,,move_BBL200220020006,journal_BBL
draft,period_2002-3,,move_BBL200220020006,journal_BBL
draft,period_2002-3,,move_BBL200220020006,journal_BBL
draft,period_2002-3,,move_BBL200220020006,journal_BBL
draft,period_2002-3,,move_BBL200220020006,journal_BBL
draft,period_2002-12,,move_BBL200220020007,journal_BBL
draft,period_2002-12,,move_BBL200220020007,journal_BBL
draft,period_2002-12,,move_BBL200220020007,journal_BBL
draft,period_2002-12,,move_BBL200220020007,journal_BBL
draft,period_2002-12,,move_BBL200220020007,journal_BBL
draft,period_2002-12,,move_BBL200220020007,journal_BBL
draft,period_2002-12,,move_BBL200220020007,journal_BBL
draft,period_2003-4,,move_BBL200345,journal_BBL
draft,period_2003-4,,move_BBL200346,journal_BBL
draft,period_2003-12,,move_BBL200347,journal_BBL
draft,period_2003-12,,move_BBL200347,journal_BBL
draft,period_2004-1,,move_BBL20041,journal_BBL
draft,period_2004-2,,move_BBL20042,journal_BBL
draft,period_2004-2,,move_BBL20042,journal_BBL
draft,period_2004-3,,move_BBL20044,journal_BBL
draft,period_2001-1,,move_CAS200120010001,journal_CAS
draft,period_2001-2,,move_CAS200120010003,journal_CAS
draft,period_2001-3,,move_CERA200120010001,journal_CERA
draft,period_2001-3,,move_CERA200120010001,journal_CERA
draft,period_2001-3,,move_CERA200120010001,journal_CERA
draft,period_2001-3,,move_CERA200120010001,journal_CERA
draft,period_2001-6,,move_CERA200120010002,journal_CERA
draft,period_2001-6,,move_CERA200120010002,journal_CERA
draft,period_2001-6,,move_CERA200120010002,journal_CERA
draft,period_2001-1,,move_DI1200120010002,journal_DI1
draft,period_2001-1,,move_DI1200120010002,journal_DI1
draft,period_2002-1,,move_DI1200220020001,journal_DI1
draft,period_2002-1,,move_DI1200220020002,journal_DI1
draft,period_2002-1,,move_DI1200220020002,journal_DI1
